Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch1_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch2_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch3_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch5_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch4_corr_probe[31:0]
275,275,0,00013066,0007c18a,0002d0d0,000673a8,00031286
276,276,0,00013066,0007c18a,0002d0d0,000673a8,00031286
277,277,0,00013066,0007c18a,0002d0d0,000673a8,00031286
278,278,0,00013066,0007c18a,0002d0d0,000673a8,00031286
279,279,0,00013066,0007c18a,0002d0d0,000673a8,00031286
280,280,0,00013066,0007c18a,0002d0d0,000673a8,00031286
281,281,0,00013066,0007c18a,0002d0d0,000673a8,00031286
282,282,0,00013066,0007c18a,0002d0d0,000673a8,00031286
283,283,0,00013066,0007c18a,0002d0d0,000673a8,00031286
284,284,0,00013066,0007c18a,0002d0d0,000673a8,00031286
285,285,0,00013066,0007c18a,0002d0d0,000673a8,00031286
286,286,0,00013066,0007c18a,0002d0d0,000673a8,00031286
287,287,0,00013066,0007c18a,0002d0d0,000673a8,00031286
288,288,0,00013066,0007c18a,0002d0d0,000673a8,00031286
289,289,0,00013066,0007c18a,0002d0d0,000673a8,00031286
290,290,0,00013066,0007c18a,0002d0d0,000673a8,00031286
291,291,0,00013066,0007c18a,0002d0d0,000673a8,00031286
292,292,0,00013066,0007c18a,0002d0d0,000673a8,00031286
293,293,0,00013066,0007c18a,0002d0d0,000673a8,00031286
294,294,0,00013066,0007c18a,0002d0d0,000673a8,00031286
295,295,0,00013066,0007c18a,0002d0d0,000673a8,00031286
296,296,0,00013066,0007c18a,0002d0d0,000673a8,00031286
297,297,0,00013066,0007c18a,0002d0d0,000673a8,00031286
298,298,0,00013066,0007c18a,0002d0d0,000673a8,00031286
299,299,0,00013066,0007c18a,0002d0d0,000673a8,00031286
300,300,0,00013066,0007c18a,0002d0d0,000673a8,00031286
301,301,0,00013066,0007c18a,0002d0d0,000673a8,00031286
302,302,0,00013066,0007c18a,0002d0d0,000673a8,00031286
303,303,0,00013066,0007c18a,0002d0d0,000673a8,00031286
304,304,0,00013066,0007c18a,0002d0d0,000673a8,00031286
305,305,0,00013066,0007c18a,0002d0d0,000673a8,00031286
306,306,0,00013066,0007c18a,0002d0d0,000673a8,00031286
307,307,0,00013066,0007c18a,0002d0d0,000673a8,00031286
308,308,0,00013066,0007c18a,0002d0d0,000673a8,00031286
309,309,0,00013066,0007c18a,0002d0d0,000673a8,00031286
310,310,0,00013066,0007c18a,0002d0d0,000673a8,00031286
311,311,0,00013066,0007c18a,0002d0d0,000673a8,00031286
312,312,0,00013066,0007c18a,0002d0d0,000673a8,00031286
313,313,0,00013066,0007c18a,0002d0d0,000673a8,00031286
314,314,0,00013066,0007c18a,0002d0d0,000673a8,00031286
315,315,0,00013066,0007c18a,0002d0d0,000673a8,00031286
316,316,0,00013066,0007c18a,0002d0d0,000673a8,00031286
317,317,0,00013066,0007c18a,0002d0d0,000673a8,00031286
318,318,0,00013066,0007c18a,0002d0d0,000673a8,00031286
319,319,0,00013066,0007c18a,0002d0d0,000673a8,00031286
320,320,0,00013066,0007c18a,0002d0d0,000673a8,00031286
321,321,0,00013066,0007c18a,0002d0d0,000673a8,00031286
322,322,0,00013066,0007c18a,0002d0d0,000673a8,00031286
323,323,0,00013066,0007c18a,0002d0d0,000673a8,00031286
324,324,0,00013066,0007c18a,0002d0d0,000673a8,00031286
325,325,0,00013066,0007c18a,0002d0d0,000673a8,00031286
326,326,0,00013066,0007c18a,0002d0d0,000673a8,00031286
327,327,0,00013066,0007c18a,0002d0d0,000673a8,00031286
328,328,0,00013066,0007c18a,0002d0d0,000673a8,00031286
329,329,0,00013066,0007c18a,0002d0d0,000673a8,00031286
330,330,0,00013066,0007c18a,0002d0d0,000673a8,00031286
331,331,0,00013066,0007c18a,0002d0d0,000673a8,00031286
332,332,0,00013066,0007c18a,0002d0d0,000673a8,00031286
333,333,0,00013066,0007c18a,0002d0d0,000673a8,00031286
334,334,0,00013066,0007c18a,0002d0d0,000673a8,00031286
335,335,0,00013066,0007c18a,0002d0d0,000673a8,00031286
336,336,0,00013066,0007c18a,0002d0d0,000673a8,00031286
337,337,0,00013066,0007c18a,0002d0d0,000673a8,00031286
338,338,0,00013066,0007c18a,0002d0d0,000673a8,00031286
339,339,0,00013066,0007c18a,0002d0d0,000673a8,00031286
340,340,0,00013066,0007c18a,0002d0d0,000673a8,00031286
341,341,0,00013066,0007c18a,0002d0d0,000673a8,00031286
342,342,0,00013066,0007c18a,0002d0d0,000673a8,00031286
343,343,0,00013066,0007c18a,0002d0d0,000673a8,00031286
344,344,0,00013066,0007c18a,0002d0d0,000673a8,00031286
345,345,0,00013066,0007c18a,0002d0d0,000673a8,00031286
346,346,0,00013066,0007c18a,0002d0d0,000673a8,00031286
347,347,0,00013066,0007c18a,0002d0d0,000673a8,00031286
348,348,0,00013066,0007c18a,0002d0d0,000673a8,00031286
349,349,0,00013066,0007c18a,0002d0d0,000673a8,00031286
350,350,0,00013066,0007c18a,0002d0d0,000673a8,00031286
